Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,Broad money growth (annual %),FM.LBL.BMNY.ZG,,4.760296184,7.91941288,10.45882086,11.58598602,5.160477068,7.756426806,9.006195235,7.034359325,9.526952695,5.115843043,8.711300803,19.68122821,21.30658728,9.158093147,20.55914424,12.22876176,5.920917789,10.49023579,11.60939456,14.01483372,9.884558428,10.59522358,13.23552728,11.73516536,17.91469602,9.563253012,16.02834128,17.91438103,31.01604278,12.75767883,1.182172353,7.379035959,5.726582262,9.959255751,8.518371715,10.64895222,7.310580377,8.43035779,11.7042581,3.739909575,10.93057636,7.035917117,12.76343495,11.4182954,8.50085421,15.0631947,18.2329858,17.00474383,3.207521582,10.1307768,7.967777688,7.347916752,6.747131992,7.0328977,5.984082435,6.666188127,4.521987656,2.373822341,14.05953319,13.66823252,6.699811053,7.841017065
Austria,AUT,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.8160492,1116.547485,25.4196533,17.09267985,41.42524199,-15.17130433,20.06951192,73.41245492,-10.56753134,14.47730708,29.73033981,47.51124183,22.10256605,86.8126452,71.68319233,44.03683181,-0.294840726,24.3034834,32.06544663,20.65805693,14.98948462,11.80307306,-1.148701829,-2.010855125,9.008399502,5.65746855,19.97437433,1.106831607,18.71058014,23.60485218
Burundi,BDI,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,3.507462687,-1.153568854,19.40919037,3.127481522,3.986258366,26.99931647,22.54216003,-1.991069468,16.99156024,17.98391216,-3.849899897,51.67562396,26.95087563,28.9594281,8.065813777,3.402644521,30.24682594,-5.098139973,29.8274688,2.951696072,21.85073564,0.13449662,1.692783661,15.70665348,18.91099226,9.986912783,18.00196789,5.665949177,5.952274837,33.0436633,-7.970726082,18.74205524,8.43790368,-0.845966591,47.58567853,15.54485646,16.41187469,30.18560071,24.9985706,10.22712197,24.73143059,22.66150552,4.954486462,33.63700237,17.08356431,24.97585644,6.998892508,16.06918253,12.48170567,12.19566723,-0.064077933,7.296028489,26.31712798,19.87018585,22.55113844,24.10676939,20.34124075,37.16047385
Belgium,BEL,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,3.58974359,1.155115512,0.326264274,5.040650407,-2.167182663,15.49050633,17.18043568,17.24541097,22.28759473,13.32463508,6.397064115,24.77343433,72.6868665,-3.854483819,13.99562535,11.73893121,4.41858677,48.94332491,24.31568366,30.49207275,-1.460817977,15.17113402,-0.085842672,-2.220209443,-11.29529539,1.082591361,6.468592029,28.63155086,10.6685131,18.71318416,-3.100036007,47.9009214,-1.836783784,13.02500145,4.639931023,-3.560750946,34.79132659,25.9647075,0.739246037,-11.8482869,22.24408941,-12.03064566,16.86038217,27.22720526,18.89209088,25.42225303,8.010495847,9.770146655,9.380195633,7.460344781,17.33267312,18.35157893,6.136451874,0.175468917,1.043888642,4.789551807,6.020971235,17.30188898,16.66648131,13.01106326
Burkina Faso,BFA,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,10.6884058,2.618657938,2.232854864,3.276131045,0.453172205,14.21052632,14.65437788,7.53330271,6.023067065,6.698227236,36.75068441,21.03410189,38.72126847,29.72617383,12.74404158,19.51480055,8.76631777,15.08585269,19.72640836,12.02680645,12.16043934,15.87329345,0.601614798,22.36129401,11.66227939,16.61192646,3.744346592,-0.497338603,4.466692162,3.956470221,7.969503438,29.38922285,22.25656612,5.174868257,17.72923688,1.044610914,2.556132531,7.505135348,-3.114927037,-3.018593406,69.07792347,-4.341466772,-2.456197234,10.3118163,7.959399473,26.96620429,23.4535066,17.95665072,14.38508297,15.55989832,10.85315443,11.01774031,19.41540396,11.66609457,21.07756291,10.4418753,9.094124827,17.81880298,16.86232166,2.359381729
Bangladesh,BGD,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,5.385278728,18.95842724,24.06554587,26.31245096,22.54833034,20.99695547,16.81518052,12.07832593,40.34156885,36.29965198,13.6823969,16.25634428,18.81049289,13.65889445,18.63655243,10.39977291,13.70804621,12.03512475,10.51420575,19.33400298,12.1487675,10.73424355,9.742787133,11.41401589,15.47134693,19.34712843,42.99761697,14.50042664,14.06829755,14.12932031,15.81338616,20.21561985,13.54834629,16.40721028,20.24440077,21.0788579,16.91536756,17.01132257,14.84981283,15.61021591,14.892336,16.69775713,13.73939573,11.50616873,11.90526568,13.08488534,9.175709444,7.502298439
Bulgaria,BGR,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.66505171,53.87799806,77.48130574,40.46400489,123.8892033,351.448617,11.75613681,13.373648,30.80031493,25.95804356,12.3446393,20.20424063,24.00793947,21.49319417,26.92733272,31.28587647,8.856652164,4.172126432,6.304509099,12.18132254,8.432293522,8.935771374,1.144027672,8.765536447,7.606858325,7.70576446,8.778294974,9.882391521,10.88416487,10.69871484,
Bahrain,BHR,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,23.04173814,14.86679058,18.50912916,10.20663602,16.53829475,29.57863775,20.17530665,13.37346244,46.36175679,26.32878234,64.92585114,19.07923102,19.47004162,2.550405441,26.66371887,35.4936496,-41.773711,93.68917244,-3.51907799,9.126679231,-2.007844509,9.408475208,4.042331517,4.449289846,-11.56314434,23.20851455,4.860361405,5.727819626,5.98352313,7.424578642,3.101961974,7.84851756,16.75675676,4.12409536,10.22129095,9.24097,10.33845501,6.357003109,4.14724012,21.99122952,14.89357595,39.29978443,19.67982924,5.809702158,10.5094602,3.401334604,4.052808201,8.20220206,6.511556812,2.946030444,,,,,,,
"Bahamas, The",BHS,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,-8.565737052,3.050108932,8.086680761,1.41809291,0.530376085,9.64028777,19.55380577,2.671057446,13.43549537,15.39428212,14.67465287,10.96866097,15.55412923,13.0716534,9.349926314,5.825097335,9.891042875,15.65799639,8.383433534,7.899332306,16.82216299,6.6335262,5.487199083,16.12692893,8.727930626,8.549460638,5.624273179,23.4773296,16.24334704,10.5644852,9.312226041,4.909993076,2.980806248,3.676902537,9.220387874,10.83547528,7.761371857,10.52912142,5.255166747,1.664828171,5.522399062,2.444737568,2.96444497,0.545256323,1.556608751,-0.375520871,8.79728297,1.807174811,1.052050531,10.59308456,-0.267641503,4.338730286,9.361593535
Bosnia and Herzegovina,BIH,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.01155233,27.5217537,11.25039692,77.78764531,10.2337128,8.377977122,24.29731463,18.20265625,22.62154076,20.71751114,4.066551367,2.168922164,7.223566089,5.798934316,3.41480605,7.940419963,7.303242847,7.981190656,8.314116381,9.499828811,9.381247783,8.852922205,7.277250131,11.5635719,5.471590414
Belarus,BLR,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.4136951,52.42690154,111.3596123,276.0042142,132.6520543,219.2677871,58.78201098,49.0285325,54.34536191,49.98117199,42.20927767,39.26050451,39.98746352,26.34080711,23.08048658,31.89197536,121.2394452,45.05444891,19.84764875,23.86669812,36.54154288,3.796080099,17.4262119,8.493068022,12.20548254,4.722694328,6.98964542,
Belize,BLZ,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,2.584520816,26.55590358,3.235768858,12.77817735,8.887574402,6.159813941,18.46180908,4.367605073,8.473129406,18.69887678,21.37360871,4.329402028,13.9449927,15.15165228,10.0971901,12.97350877,3.274556745,8.379969782,18.19332676,7.581511305,11.53919717,5.88380293,15.76710687,12.41811044,10.20251255,2.937078448,4.930646561,13.15310489,6.573512756,16.47508291,15.37110392,13.27888197,6.4341557,-0.114401925,5.280858503,11.00887861,1.35295281,7.893315257,7.561501148,2.649079163,-0.368487043,2.651893883,4.641267782,11.92263151,12.39149571,3.481023571
Bermuda,BMU,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Broad money growth (annual %),FM.LBL.BMNY.ZG,,18.08975834,13.97388423,19.97264022,21.55074116,16.67448405,25.94974874,7.125758059,12.66294227,10.2214876,14.76216184,18.05874974,25.92641785,32.74970995,44.31378781,23.22811525,47.47494304,29.41176471,12.99960983,14.84990574,39.03904084,27.21717696,230.4174018,172.7497191,1428.915644,6987.876844,184.3717369,94.94492044,27.8395178,21.43313197,52.86552073,50.73288179,34.47367959,33.70273198,24.21142037,7.657724926,39.8379395,18.96451803,13.42318824,3.230578524,1.553122951,26.02196647,-5.801499814,14.22090746,-5.10857445,13.84542381,23.35909512,26.9401777,24.69155479,10.12822351,12.63370989,22.96629094,19.36850369,18.10870523,15.64383951,13.14004509,0.002490992,9.990157421,4.130515684,-1.561481607,9.279325007,6.358249516,
